State,Year,Margin
Nationwide,2020,7
Nationwide,2016,6
Nationwide,2012,7
Nationwide,2008,9
Nationwide,2004,-6
Nationwide,2000,5
Nationwide,1996,9
Nationwide,1992,8
Nationwide,1988,-9
Nationwide,1984,-10
Nationwide,1980,-10
Nationwide,1976,6
Nationwide,1972,-10
Nationwide,1968,-5
Nationwide,1964,10
Nationwide,1960,5
Nationwide,1956,-10
Nationwide,1952,-10
Nationwide,1948,7
Nationwide,1944,9
Nationwide,1940,10
Nationwide,1936,10
Nationwide,1932,10
Nationwide,1928,-10
Nationwide,1924,-10
Nationwide,1920,-10
Nationwide,1916,7
Nationwide,1912,10
Nationwide,1908,-9
Nationwide,1904,-10
Nationwide,1900,-8
Nationwide,1896,-7
Nationwide,1892,7
Nationwide,1888,5
Nationwide,1884,5
Nationwide,1880,-5
Nationwide,1876,7
Nationwide,1872,-10
Nationwide,1868,-8
Nationwide,1864,-10
Nationwide,1860,-10
Nationwide,1856,10
Nationwide,1852,8
Nationwide,1848,-7
Nationwide,1844,6
Nationwide,1840,-8
Nationwide,1836,10
Nationwide,1832,10
Nationwide,1828,10
Alabama,2020,-10
Alabama,2016,-10
Alabama,2012,-10
Alabama,2008,-10
Alabama,2004,-10
Alabama,2000,-10
Alabama,1996,-8
Alabama,1992,-8
Alabama,1988,-10
Alabama,1984,-10
Alabama,1980,-6
Alabama,1976,10
Alabama,1972,-10
Alabama,1968,0
Alabama,1964,-10
Alabama,1960,10
Alabama,1956,10
Alabama,1952,10
Alabama,1948,0
Alabama,1944,10
Alabama,1940,10
Alabama,1936,10
Alabama,1932,10
Alabama,1928,6
Alabama,1924,10
Alabama,1920,10
Alabama,1916,10
Alabama,1912,10
Alabama,1908,10
Alabama,1904,10
Alabama,1900,10
Alabama,1896,10
Alabama,1892,10
Alabama,1888,10
Alabama,1884,10
Alabama,1880,10
Alabama,1876,10
Alabama,1872,-8
Alabama,1868,-6
Alabama,1860,0
Alabama,1856,10
Alabama,1852,10
Alabama,1848,6
Alabama,1844,10
Alabama,1840,9
Alabama,1836,10
Alabama,1832,10
Alabama,1828,10
Alaska,2020,-10
Alaska,2016,-10
Alaska,2012,-10
Alaska,2008,-10
Alaska,2004,-10
Alaska,2000,-10
Alaska,1996,-10
Alaska,1992,-10
Alaska,1988,-10
Alaska,1984,-10
Alaska,1980,-10
Alaska,1976,-10
Alaska,1972,-10
Alaska,1968,-6
Alaska,1964,10
Alaska,1960,-6
Arizona,2020,5
Arizona,2016,-7
Arizona,2012,-10
Arizona,2008,-9
Arizona,2004,-10
Arizona,2000,-8
Arizona,1996,6
Arizona,1992,-6
Arizona,1988,-10
Arizona,1984,-10
Arizona,1980,-10
Arizona,1976,-10
Arizona,1972,-10
Arizona,1968,-10
Arizona,1964,-5
Arizona,1960,-10
Arizona,1956,-10
Arizona,1952,-10
Arizona,1948,10
Arizona,1944,10
Arizona,1940,10
Arizona,1936,10
Arizona,1932,10
Arizona,1928,-10
Arizona,1924,-8
Arizona,1920,-10
Arizona,1916,10
Arizona,1912,10
Arkansas,2020,-10
Arkansas,2016,-10
Arkansas,2012,-10
Arkansas,2008,-10
Arkansas,2004,-10
Arkansas,2000,-8
Arkansas,1996,10
Arkansas,1992,10
Arkansas,1988,-10
Arkansas,1984,-10
Arkansas,1980,-5
